app_id,app_name,review_text,review_score,review_votes
10,Counter-Strike,Ruined my life.,1,0
10,Counter-Strike,"This will be more of a ''my experience with this game'' type of review, because saying things like ''great gameplay'' will not suit something I've experienced with Counter-Strike. Here you go:  I remember back in 2002 I was at a friend's house and he was playing a game. I didn't know the name of the game nor I had internet to find it. A few weeks passed by and another friend came over. He didn't have a computer, so he brought a disc with a game in it. He told me that it was one of the best games and from that very moment I knew that it is going to be the game I saw at the other friend's house. When I saw the Counter-Strike logo I was filled with gamegasm (?) and I was so happy. I was playing it hardcore. Made friends, clans, was involved in communities and even made two myself. Counter-Strike is my first game which I played competitively and it was a such an experience. Playing public servers with mods were very fun, but playing it competitively made it very intense and stressful. In a pleasant way, ofcourse. Looking at the current e-sport scene it might not seem like much but back then it was different.  Shooters these days try to be different, advanced in a way. Sometimes the most simple games like Counter-Strike are the ones that live to this day. Also, there are plenty of mods to keep your attention to this game. The gameplay is very simple - defend as a Counter-Terrorist, attack as a Terrorist to plant the bomb or save the hostages as a CT. I am sure most of you already know this and I doubt there are gamers that haven't heard or know the gameplay of Counter-Strike, so I am sharing here more of my experience.  I wish I could find my CS Anthology account which I've lost since 2008. So, I decided I am going to buy this game again and here you go - more than a thousand hours played. I still play it from time to time to this day and it brings back many great memories and I sometimes even stumble upon people I've played with years ago. I think Counter-Strike changed gaming in a major way and we wouldn't have many games like we have today, if this game wouldn't exist.   I am sure many of people already have played games like CS:GO but never the roots. I doubt any of you will play it for more than an hour, because it's much more simple and it differs a lot in my opinion from CS:GO and modern games. It's harder though.",1,1
10,Counter-Strike,This game saved my virginity.,1,0
10,Counter-Strike,• Do you like original games? • Do you like games that don't lag? • Do you like games you can run on low end PC's? • Do you like games where you don't meet children who have slept with your mother?  Then this is for you!,1,0
10,Counter-Strike,"        Easy to learn, hard to master.          ",1,1
10,Counter-Strike,Very cooool game :)!!!! I Llike This GAME :d,1,1
10,Counter-Strike,Love It!!! &lt;3  Brings Back So Many good time's with mates! :),1,1
10,Counter-Strike,"So many years with us, but still the best game ever. :)",1,1
10,Counter-Strike,"Will play this for like 10k hrs, for sure",1,1
10,Counter-Strike,One of the best games I played and playing till now ^_^,1,1
10,Counter-Strike,It s good game.,1,1
10,Counter-Strike,"Still the best FPS. Even after playing CS GO, 1.6 will always have a place in my heart.",1,1
10,Counter-Strike,"Great game, tho graphics are not nowadays quality because it's been made in 1999.",1,1
10,Counter-Strike,"The greatest multiplayer shooter experience I've had since Quake 1. The e-sport scene also helped it alot, it's the only computer game I've really followed when it comes to e-sports (back when I followed the CPL etc). The design of the game was simple but very effective and delivered a multiplayer experience that few other games can match. The Call of Duty and Battlefield titles, although good in their own right, never drew me in like Counter-Strike.",1,1
10,Counter-Strike,This game is awsome and will be for sure in next 50 yrs :),1,0
10,Counter-Strike,csik is for real mans,1,0
10,Counter-Strike,"Best FPS game ever, if you are truly a gamer, dont miss it",1,0
10,Counter-Strike,"This game will always have a place in my heart,I grew up with this one.It also doesn't require a good PC,you don't need to worry about ranks too,simple as that and don't be put off by the graphics...By the way you can still find surf/bhop servers so it's worth it!",1,0
10,Counter-Strike,This is s good game(:,1,0
10,Counter-Strike,hmm. trying to earn a few batches.,1,0
10,Counter-Strike,Old but gold !,1,0
10,Counter-Strike,Always good as a trip down the memory lane!,1,0
10,Counter-Strike,"Nice game, i recommend it!",1,0
10,Counter-Strike,"Back when Counter-Strike was good. Of all games in this series, the other games aren't as complete as this one. Though this game maybe feels outdated, it does pack alot of fun for anyone who is a fan of FPS games. The FPS function in this game is superb and it feels great to get headshots and so on. If you're intrested in this game and if you're fully aware of what you are getting in to, then get it!",1,0
10,Counter-Strike,Old school game.,1,0
10,Counter-Strike,"1999 is when this came out, but when I was born. Gladly though I grew up to find out and discover about this magnificent piece. There was no other game that I played once I purchased this with some B-Day cash on Steam. First time playing, I got mutilated like the noob I was, but when I started playing more often, I became better and everyone else can too.   This isn't like the CODs or Battlefields that I have played here and there today. No it's much more different. Counter-Strike is a Tactical FPS which relies on teamwork and tactics more than fast paced arcade action. You don't unlock weapons, you buy them with cash earned from kiling enemies, completeing objectives, or winning rounds although you still get a little for loosing. Think of the game as Cops &amp; Robbers. Robbers blow things up and the Cops don't them too.  On the extra note, this game has probably one of the best modding communities out there. There too much to do or put in here but I can slam a bit down. -Zombies Survival/Escape -Soccer (Or Football for the Europeans) -Surf -Bhop/KZ (Climbing Zone) -Pokemod -Gungame (Those new may have heard such from Call of Duty's spinoff) -And more, etc.  So now that I've explained the game I guess I can lay down some pro's yet con's to playing Counter-Strike 1.6  PROS -Fun/Unlimited Gameplay possibilities -Booming community that has been alive for 15 years -Plethora of servers to choose from -Competetive and Casual at the same time -Fun to play with a group of friends -More skill based than many other games out there -Cheap price   CONS -Graphics from 1998 may seem slightly offputting -Not an easy game to jump right into, as it takes lots of time to become better -May seem repetitive after a while  I came into CS late. But, I'm glad this was the first one I owned.",1,0
10,Counter-Strike,why the  not?,1,1
10,Counter-Strike,Ttesports | Classic Server-93.157.46.204:27015,1,0
10,Counter-Strike,"After 16 years of existence, this legendary game is still in the Steam top 10 most played multiplayer games in the world. it's one of the best shouter games ever made !! you can't get bored of this one, trust me i have about 1.3k hours here on steam &amp; more than 2k on the non steam version =) but ppl left it to play 'modern games' like cs go &amp; battlefield &amp; COD .. what a shame !! there still some alive communities &amp; servers so don't be afraid ... but the sad thing is that there are many cheaters (you will get used to see them anyways, thank god there are many admins who can take care of them) i love this game so much but after all maybe this it's the right time to let it go. maybe one day i will comeback to find it alive again like the old days, maybe one day :) anyways, i totally recommend this game for everyone! don't be shy go buy it now if you didn't already do !' this is a must have one !'",1,0
